"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Metric Name","Metric Unit","Minimum","Maximum","Average"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_max_blocks_per_multiprocessor","","","","24"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_max_gpu_frequency_khz","","","","1.515.000"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_max_grid_dim_x","","","","2.147.483.647"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_max_grid_dim_y","","","","65.535"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_max_grid_dim_z","","","","65.535"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_max_ipc_per_multiprocessor","","","","4"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_max_ipc_per_scheduler","","","","1"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_max_mem_frequency_khz","","","","14.001.000"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_max_persisting_l2_cache_size","","","","23.592.960"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_max_pitch","","","","2.147.483.647"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_max_registers_per_block","","","","65.536"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_max_registers_per_multiprocessor","","","","65.536"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_max_registers_per_thread","","","","255"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_max_shared_memory_per_block","","","","49.152"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_max_shared_memory_per_block_optin","","","","101.376"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_max_shared_memory_per_multiprocessor","","","","102.400"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_max_threads_per_block","","","","1.024"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_max_threads_per_multiprocessor","","","","1.536"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_max_warps_per_multiprocessor","","","","48"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_max_warps_per_scheduler","","","","12"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_maximum_surface1d_layered_layers","","","","2.048"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_maximum_surface1d_layered_width","","","","32.768"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_maximum_surface1d_width","","","","32.768"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_maximum_surface2d_height","","","","65.536"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_maximum_surface2d_layered_height","","","","32.768"
"41488","klb_sgp4_bench.exe","127.0.0.1","<unnamed>::materialize_pef_chunked_kernel(const ElsetRec *, unsigned int, unsigned long long, double, double, double, unsigned int, double4 *)","(64, 1, 1)","(1182, 1, 1)","0","12.0","4","device__attribute_maximum_surface2d_layered_layers","","","","2.048"
